                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8461,                 4.2673,                 4.2227,                0.00533,                0.83333,                0.01501,                0.00397,                 2.5175,                 3.7697,                 4.1589,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 3.0016,                 4.3417,                 4.2488,                 0.0039,                0.66667,                0.00442,                0.00158,                 2.5178,                 3.7706,                 4.1586,             4.2849e-05,             4.2849e-05,             4.2849e-05
                      3,                 3.0155,                 4.3262,                 4.1992,                0.00387,                0.66667,                0.00499,                0.00197,                 2.5178,                 3.7706,                 4.1578,             7.1379e-05,             7.1379e-05,             7.1379e-05
                      4,                 2.8225,                 4.2027,                 4.2062,                0.00546,                0.83333,                  0.009,                0.00323,                 2.5212,                  3.769,                 4.1579,             9.9881e-05,             9.9881e-05,             9.9881e-05
                      5,                 3.0621,                 4.2047,                 4.2083,                0.00348,                0.66667,                0.01022,                0.00242,                 2.5212,                 3.7666,                 4.1565,             0.00012836,             0.00012836,             0.00012836
                      6,                 2.8697,                 4.2396,                 4.2078,                0.00538,                0.83333,                0.00774,                0.00282,                 2.5162,                 3.7653,                  4.155,              0.0001568,              0.0001568,              0.0001568
                      7,                 2.9659,                 4.2455,                 4.2068,                0.00561,                0.83333,                0.00678,                0.00256,                 2.5137,                 3.7623,                 4.1528,             0.00018522,             0.00018522,             0.00018522
                      8,                 2.9141,                 4.1826,                 4.2071,                0.00284,                    0.5,                0.00532,                0.00265,                 2.5175,                 3.7604,                 4.1494,             0.00021361,             0.00021361,             0.00021361
                      9,                 2.8389,                  4.098,                 4.1681,                0.00563,                0.83333,                0.00908,                0.00332,                 2.5176,                 3.7598,                 4.1474,             0.00024197,             0.00024197,             0.00024197
                     10,                 2.8321,                 4.1927,                 4.1572,                0.00253,                    0.5,                0.00368,                0.00127,                  2.515,                 3.7591,                 4.1447,              0.0002703,              0.0002703,              0.0002703
                     11,                 2.9873,                 4.2785,                 4.1484,                0.00217,                    0.5,                0.00216,                0.00134,                 2.5161,                 3.7575,                 4.1414,              0.0002986,              0.0002986,              0.0002986
                     12,                 2.8585,                 4.1214,                 4.1632,                0.00203,                    0.5,                0.00552,                0.00251,                 2.5177,                 3.7574,                 4.1383,             0.00032688,             0.00032688,             0.00032688
                     13,                 2.9329,                 4.1822,                 4.1295,                0.00198,                    0.5,                0.00692,                0.00298,                 2.5137,                 3.7552,                 4.1344,             0.00035513,             0.00035513,             0.00035513
