                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.008,                 3.6657,                 1.6566,                0.00572,                0.83333,                0.31944,                0.20142,                0.99863,                 3.8365,                 1.9491,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 1.0009,                 3.7296,                 1.6167,                0.00566,                0.83333,                0.32049,                0.20302,                0.98546,                 3.8229,                 1.9414,             4.2446e-05,             4.2446e-05,             4.2446e-05
                      3,                 1.0723,                 3.7442,                 1.7759,                0.00556,                0.83333,                0.31078,                0.19942,                0.97397,                 3.6822,                 1.8849,             7.0035e-05,             7.0035e-05,             7.0035e-05
                      4,                0.92624,                 3.6038,                 1.6616,                0.00543,                0.83333,                0.30737,                0.21626,                 1.0417,                 3.5825,                  1.876,             9.7059e-05,             9.7059e-05,             9.7059e-05
                      5,                 1.0522,                 3.5991,                  1.735,                0.11562,                    0.5,                0.31707,                0.20202,                 1.0431,                 3.4342,                 1.8755,             0.00012352,             0.00012352,             0.00012352
                      6,                 1.0844,                 3.5039,                 1.7214,                  0.167,                0.22222,                0.32843,                0.22351,                 1.0327,                 3.2841,                 1.8537,             0.00014941,             0.00014941,             0.00014941
                      7,                0.96864,                 3.4323,                 1.6614,                0.23152,                0.22222,                0.35468,                0.23007,                 1.0349,                 3.1772,                 1.8579,             0.00017474,             0.00017474,             0.00017474
                      8,                 1.0196,                 3.2615,                 1.6451,                0.60873,                0.22222,                0.36432,                0.27567,                0.99404,                 3.0469,                 1.8646,              0.0001995,              0.0001995,              0.0001995
                      9,                0.97801,                 3.0522,                 1.6353,                0.95464,                0.22222,                0.40091,                0.29415,                 1.0194,                  2.985,                 1.9098,             0.00022369,             0.00022369,             0.00022369
                     10,                 1.0851,                 3.1295,                 1.7201,                0.96776,                0.22222,                0.43039,                 0.3125,                 1.0802,                 2.9462,                 1.9453,             0.00024732,             0.00024732,             0.00024732
                     11,                 1.1119,                 3.1591,                 1.7721,                0.97827,                0.22222,                0.44598,                0.32686,                 1.1303,                 2.9214,                 1.9812,             0.00027038,             0.00027038,             0.00027038
                     12,                 1.0684,                 2.9349,                 1.6895,                0.99053,                0.22222,                 0.4312,                0.33759,                 1.1499,                 2.9333,                   1.99,             0.00029288,             0.00029288,             0.00029288
                     13,                 1.0358,                 2.9781,                 1.6875,                0.98818,                0.22222,                0.42399,                0.33165,                 1.1507,                 2.9202,                 1.9836,             0.00031481,             0.00031481,             0.00031481
                     14,                0.99053,                 2.7839,                 1.6515,                0.99411,                0.22222,                0.45297,                0.35668,                 1.1409,                  2.896,                  1.898,             0.00033617,             0.00033617,             0.00033617
                     15,                 0.9665,                  2.827,                 1.5934,                0.99457,                0.22222,                0.49307,                0.37693,                 1.1197,                 2.8739,                 1.8516,             0.00035697,             0.00035697,             0.00035697
                     16,                0.95062,                 2.6645,                 1.5609,                      1,                0.22057,                0.50948,                 0.3888,                  1.099,                 2.8473,                 1.7998,             0.00037721,             0.00037721,             0.00037721
                     17,                0.92332,                 2.5701,                 1.5622,                      1,                0.20889,                0.48877,                0.37252,                 1.1073,                 2.8268,                 1.8149,             0.00039687,             0.00039687,             0.00039687
                     18,                0.98883,                 2.6404,                 1.5971,                 0.5388,                0.58333,                 0.5205,                0.38283,                 1.0971,                 2.7672,                 1.8108,             0.00041597,             0.00041597,             0.00041597
                     19,                0.97593,                 2.5857,                 1.6119,                0.55383,                0.58333,                0.51962,                0.38073,                 1.0551,                 2.6879,                 1.7687,             0.00043451,             0.00043451,             0.00043451
                     20,                 1.0354,                 2.4798,                 1.6529,                0.59491,                0.58333,                0.59867,                0.42427,                0.99541,                 2.5892,                 1.7176,             0.00045248,             0.00045248,             0.00045248
                     21,                0.96129,                 2.3932,                 1.5573,                0.67362,                0.58333,                0.62871,                0.45798,                0.94214,                 2.4916,                 1.6838,             0.00046988,             0.00046988,             0.00046988
