                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2483,                 4.8709,                 3.5904,                0.00333,                      1,                0.05686,                0.01727,                  1.876,                  4.525,                 3.5533,                      0,                      0,                      0
                      2,                 2.2641,                 4.7192,                 3.4572,                0.00333,                      1,                0.05453,                0.01684,                 1.8471,                 4.5412,                 3.5423,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 2.3364,                 4.8981,                 3.0245,                0.00333,                      1,                0.05237,                0.01675,                 1.8498,                 4.5276,                 3.5702,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                  2.758,                 5.0026,                 3.8171,                0.00333,                      1,                0.05237,                0.01724,                 1.8351,                 4.5717,                 3.5791,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 2.3448,                 4.5014,                 3.5538,                0.00333,                      1,                0.10949,                0.04798,                 1.6867,                 4.3492,                 3.2037,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 2.2478,                 4.7252,                 3.3394,                0.00333,                      1,                0.27611,                 0.1308,                 1.3843,                 4.6103,                 2.9806,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 2.1793,                 4.8286,                 3.2545,                0.00333,                      1,                  0.265,                0.12764,                 1.3656,                 4.6035,                 2.9714,             0.00011287,             0.00011287,             0.00011287
                      8,                 1.9976,                 4.5524,                 2.7615,                0.00333,                      1,                0.66333,                0.27333,                 1.1744,                 4.4631,                 2.4647,              0.0001303,              0.0001303,              0.0001303
                      9,                 1.8328,                 4.3901,                 2.6892,                0.00333,                      1,                 0.4975,                0.30242,                 1.1174,                 3.9696,                 1.9367,             0.00014733,             0.00014733,             0.00014733
                     10,                 2.1075,                  4.257,                 2.9214,                0.00333,                      1,                 0.4975,                  0.353,                0.98648,                 3.6206,                 1.6441,             0.00016396,             0.00016396,             0.00016396
                     11,                  1.907,                 3.7917,                 2.8979,                0.00626,                      1,                  0.745,                0.53211,                 0.8859,                 3.5021,                 1.4763,              0.0001802,              0.0001802,              0.0001802
                     12,                 2.0338,                 4.0495,                 2.7658,                0.00949,                      1,                  0.995,                0.62721,                0.82088,                 3.4492,                 1.3731,             0.00019604,             0.00019604,             0.00019604
                     13,                 1.6569,                 4.4745,                 2.7797,                0.05947,                      1,                  0.995,                0.61221,                0.77985,                 3.3933,                 1.3013,             0.00021149,             0.00021149,             0.00021149
