                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81284,                 3.1049,                 1.3787,                0.00679,                      1,                0.25646,                0.13099,                0.60212,                 3.3237,                 1.4066,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 1.0586,                 3.1747,                 1.6349,                 0.0069,                      1,                0.37655,                0.13921,                0.57286,                 3.3123,                 1.3753,             4.9515e-05,             4.9515e-05,             4.9515e-05
                      3,                 1.1247,                 3.3642,                 1.8227,                0.00763,                      1,                0.55375,                0.34251,                0.69251,                 3.2853,                  1.486,               8.17e-05,               8.17e-05,               8.17e-05
                      4,                0.87268,                 3.0875,                 1.5744,                0.01029,                      1,                0.87063,                0.55839,                0.74483,                  3.283,                 1.5597,             0.00011322,             0.00011322,             0.00011322
                      5,                0.77255,                 2.6038,                 1.3696,                0.01233,                      1,                0.78875,                0.55301,                0.64281,                 3.2244,                 1.4108,             0.00014409,             0.00014409,             0.00014409
                      6,                0.97311,                 2.4846,                 1.6149,                0.01307,                      1,                 0.7475,                0.58362,                0.47586,                 3.1121,                 1.2397,             0.00017429,             0.00017429,             0.00017429
                      7,                0.75895,                 2.1123,                 1.3265,                0.01113,                      1,                0.65668,                0.45752,                0.50949,                 3.0479,                 1.2855,             0.00020384,             0.00020384,             0.00020384
                      8,                0.82116,                 2.1298,                 1.5293,                0.01055,                      1,                0.66846,                 0.5057,                 0.5778,                 3.0163,                 1.3778,             0.00023272,             0.00023272,             0.00023272
                      9,                0.63833,                 1.8172,                 1.2168,                0.01013,                      1,                0.74863,                0.53659,                0.63445,                 3.0237,                 1.4183,             0.00026095,             0.00026095,             0.00026095
                     10,                0.76085,                 1.9145,                 1.4246,                0.00986,                      1,                0.70738,                0.49319,                0.66113,                 3.0897,                  1.411,             0.00028851,             0.00028851,             0.00028851
                     11,                 0.9479,                 2.1316,                 1.6205,                0.01009,                      1,                0.71917,                0.46645,                0.68642,                 3.1437,                 1.3945,             0.00031541,             0.00031541,             0.00031541
                     12,                0.70157,                 2.0267,                  1.318,                0.00941,                      1,                  0.705,                0.50196,                0.70116,                 3.1721,                 1.3513,             0.00034166,             0.00034166,             0.00034166
                     13,                  1.096,                  2.427,                 1.7953,                0.00886,                      1,                  0.705,                0.45715,                0.68179,                 3.2003,                 1.3822,             0.00036724,             0.00036724,             0.00036724
                     14,                0.76393,                 1.8357,                 1.4092,                0.00802,                      1,                  0.797,                0.49193,                0.72989,                 3.0834,                 1.4913,             0.00039216,             0.00039216,             0.00039216
                     15,                0.69621,                 1.7788,                 1.3208,                0.11707,                      1,                0.83471,                0.57407,                0.80124,                  2.908,                   1.53,             0.00041643,             0.00041643,             0.00041643
                     16,                 0.6848,                 1.4875,                 1.2564,                0.98829,                0.73764,                 0.9125,                0.67253,                0.75284,                 2.8197,                 1.3673,             0.00044003,             0.00044003,             0.00044003
                     17,                0.75792,                 1.8167,                 1.4166,                0.78557,                0.84796,                  0.995,                0.80751,                0.59181,                 2.6241,                 1.2036,             0.00046297,             0.00046297,             0.00046297
                     18,                0.64985,                 1.5221,                 1.2056,                0.87689,                 0.8616,                  0.995,                0.82894,                0.55219,                 2.4547,                 1.2133,             0.00048526,             0.00048526,             0.00048526
                     19,                0.66555,                   1.65,                 1.2768,                0.90158,                0.87596,                  0.995,                 0.7966,                0.56182,                  2.361,                 1.2886,             0.00050688,             0.00050688,             0.00050688
                     20,                0.70972,                 1.6294,                 1.3039,                0.95069,                0.98133,                  0.995,                0.74823,                  0.683,                 2.3092,                 1.3905,             0.00052784,             0.00052784,             0.00052784
                     21,                0.59049,                 1.5527,                 1.2063,                      1,                 0.9305,                  0.995,                0.73358,                0.83937,                 2.1053,                 1.6496,             0.00054814,             0.00054814,             0.00054814
