                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81284,                 3.1049,                 1.3787,                0.00679,                      1,                0.25646,                0.13099,                0.60212,                 3.3237,                 1.4066,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 1.0586,                 3.1747,                 1.6349,                0.00697,                      1,                0.51375,                0.25633,                 0.5432,                  3.306,                 1.3236,             4.9515e-05,             4.9515e-05,             4.9515e-05
                      3,                  1.108,                 3.3813,                 1.8119,                0.00723,                      1,                0.59917,                0.35708,                0.50761,                 3.2654,                 1.2717,               8.17e-05,               8.17e-05,               8.17e-05
                      4,                0.85754,                 3.1701,                 1.5642,                0.00806,                      1,                0.75475,                0.52938,                0.61432,                 3.2409,                 1.3593,             0.00011322,             0.00011322,             0.00011322
                      5,                0.67154,                 2.7177,                 1.3159,                0.01046,                      1,                  0.664,                0.47014,                0.56415,                 3.1998,                 1.3183,             0.00014409,             0.00014409,             0.00014409
                      6,                 0.8545,                 2.5619,                 1.5259,                0.01442,                      1,                0.66375,                0.57824,                0.43654,                 3.0093,                 1.1399,             0.00017429,             0.00017429,             0.00017429
                      7,                0.72511,                 2.1504,                 1.3055,                0.01413,                      1,                0.78813,                0.65153,                0.51875,                  2.871,                 1.3036,             0.00020384,             0.00020384,             0.00020384
                      8,                 0.7492,                 2.0117,                 1.4382,                0.01422,                      1,                 0.6585,                0.52911,                0.53545,                 2.9465,                 1.3504,             0.00023272,             0.00023272,             0.00023272
                      9,                0.61979,                 1.7279,                 1.1849,                0.01422,                      1,                0.77087,                0.60688,                0.63767,                   3.04,                 1.3995,             0.00026095,             0.00026095,             0.00026095
                     10,                0.73118,                 1.8227,                 1.3826,                0.01442,                      1,                0.69225,                0.52106,                 0.7768,                 3.1452,                 1.4847,             0.00028851,             0.00028851,             0.00028851
                     11,                0.78716,                 1.9529,                 1.4712,                0.01366,                      1,                0.74625,                0.58717,                  0.734,                  3.094,                 1.4463,             0.00031541,             0.00031541,             0.00031541
                     12,                 0.6399,                 1.8255,                 1.2607,                0.01055,                      1,                0.74625,                0.60625,                 0.5865,                 2.9344,                 1.3078,             0.00034166,             0.00034166,             0.00034166
